ta_location_id,hotel_name,amenity
302457,Burj Al Arab,24-Hour Front Desk
302457,Burj Al Arab,Full Body Massage
302457,Burj Al Arab,German
302457,Burj Al Arab,Gift Shop
302457,Burj Al Arab,Hair Dryer
302457,Burj Al Arab,Head Massage
302457,Burj Al Arab,Hindi
302457,Burj Al Arab,iPod Docking Station
302457,Burj Al Arab,Ironing Service
302457,Burj Al Arab,Italian
302457,Burj Al Arab,Massage
302457,Burj Al Arab,On-Demand Movies
302457,Burj Al Arab,Pool / Beach Towels
302457,Burj Al Arab,Pool with View
302457,Burj Al Arab,Russian
302457,Burj Al Arab,Salon
302457,Burj Al Arab,Seating Area
302457,Burj Al Arab,24-Hour Security
302457,Burj Al Arab,Secured Parking
302457,Burj Al Arab,Shoeshine
302457,Burj Al Arab,Shops
302457,Burj Al Arab,Special Diet Menus
302457,Burj Al Arab,Steam Room
302457,Burj Al Arab,Sun Umbrellas
302457,Burj Al Arab,Taxi Service
302457,Burj Al Arab,Telephone
302457,Burj Al Arab,Valet Parking
302457,Burj Al Arab,VIP Room Facilities
302457,Burj Al Arab,Wake Up Service / Alarm Clock
302457,Burj Al Arab,Clothes Rack
302457,Burj Al Arab,Neck Massage
302457,Burj Al Arab,Outdoor Dining Area
302457,Burj Al Arab,Personal Trainer
302457,Burj Al Arab,Private Bathrooms
302457,Burj Al Arab,Sofa
302457,Burj Al Arab,Tile / Marble Floor
302457,Burj Al Arab,Beach Access
187685,Claridge's,Business center
187685,Claridge's,Fitness center
187685,Claridge's,Room service
187685,Claridge's,Restaurant
187685,Claridge's,Suites
187685,Claridge's,Internet
187685,Claridge's,Free Internet
187685,Claridge's,Wheelchair access
187685,Claridge's,Wifi
187685,Claridge's,Free Wifi
187685,Claridge's,Bar/Lounge
187685,Claridge's,Spa
187685,Claridge's,Airport transportation
187685,Claridge's,Dry Cleaning
187685,Claridge's,Meeting rooms
187685,Claridge's,Non-smoking rooms
187685,Claridge's,Laundry Service
187685,Claridge's,Concierge
187685,Claridge's,Banquet Room
187685,Claridge's,Air conditioning
187685,Claridge's,Multilingual Staff
187685,Claridge's,Accessible rooms
187685,Claridge's,Minibar
187685,Claridge's,Conference Facilities
187685,Claridge's,Babysitting
187685,Claridge's,Non-smoking hotel
187685,Claridge's,Safe
187685,Claridge's,Flatscreen TV
187685,Claridge's,Private Balcony
187685,Claridge's,Butler Service
187685,Claridge's,Facilities for Disabled Guests
187685,Claridge's,Sauna
187685,Claridge's,Additional Bathroom
187685,Claridge's,Allergy-free Room
187685,Claridge's,Baggage Storage
187685,Claridge's,Breakfast in the Room
187685,Claridge's,Bridal Suite
187685,Claridge's,Car Hire
187685,Claridge's,24-Hour Check-in
187685,Claridge's,Currency Exchange
187685,Claridge's,Doorperson
187685,Claridge's,English
187685,Claridge's,Facial Treatments
187685,Claridge's,Fitness / Spa Locker Rooms
187685,Claridge's,French
187685,Claridge's,24-Hour Front Desk
187685,Claridge's,Ironing Service
187685,Claridge's,Italian
187685,Claridge's,Massage
187685,Claridge's,Newspaper
187685,Claridge's,Polish
187685,Claridge's,Portuguese
187685,Claridge's,Private Check-in / Check-out
187685,Claridge's,Salon
187685,Claridge's,24-Hour Security
187685,Claridge's,Shoeshine
187685,Claridge's,Spanish
187685,Claridge's,Special Diet Menus
187685,Claridge's,Steam Room
187685,Claridge's,Taxi Service
187685,Claridge's,Wake Up Service / Alarm Clock
187685,Claridge's,Pool
187685,Claridge's,Breakfast included
187685,Claridge's,Indoor pool
17452639,citizenM Zurich,Iron
17452639,citizenM Zurich,Internet
17452639,citizenM Zurich,Free Internet
17452639,citizenM Zurich,Wheelchair access
17452639,citizenM Zurich,Bar/Lounge
17452639,citizenM Zurich,Wifi
17452639,citizenM Zurich,Free Wifi
17452639,citizenM Zurich,Meeting rooms
17452639,citizenM Zurich,Non-smoking rooms
17452639,citizenM Zurich,Business center
17452639,citizenM Zurich,Air conditioning
17452639,citizenM Zurich,Accessible rooms
17452639,citizenM Zurich,Refrigerator in room
17452639,citizenM Zurich,Non-smoking hotel
17452639,citizenM Zurich,Safe
17452639,citizenM Zurich,Flatscreen TV
17452639,citizenM Zurich,Breakfast Buffet
17452639,citizenM Zurich,Breakfast Available
17452639,citizenM Zurich,Housekeeping
17452639,citizenM Zurich,Baggage Storage
17452639,citizenM Zurich,Bath / Shower
17452639,citizenM Zurich,Blackout Curtains
17452639,citizenM Zurich,24-Hour Check-in
17452639,citizenM Zurich,Coffee Shop
17452639,citizenM Zurich,Desk
17452639,citizenM Zurich,English
17452639,citizenM Zurich,24-Hour Front Desk
17452639,citizenM Zurich,German
17452639,citizenM Zurich,Hair Dryer
17452639,citizenM Zurich,Shared Lounge / TV Area
17452639,citizenM Zurich,Telephone
17452639,citizenM Zurich,Wake Up Service / Alarm Clock
17452639,citizenM Zurich,Restaurant
17452639,citizenM Zurich,Public Wifi
17452639,citizenM Zurich,Laundry Service
17452639,citizenM Zurich,Facilities for Disabled Guests
17452639,citizenM Zurich,Allergy-free Room
17452639,citizenM Zurich,Express Check-in / Check-out
17452639,citizenM Zurich,Clothes Rack
17452639,citizenM Zurich,Extra Long Beds
17452639,citizenM Zurich,Complimentary Toiletries
17452639,citizenM Zurich,Free Wifi in the Business Center
17452639,citizenM Zurich,iPod Docking Station
17452639,citizenM Zurich,Ironing Service
17452639,citizenM Zurich,Laptop Safe
17452639,citizenM Zurich,Private Bathrooms
17452639,citizenM Zurich,Private Check-in / Check-out
17452639,citizenM Zurich,Radio
17452639,citizenM Zurich,Umbrella
224224,Ritz-Carlton New York Central Park,Room service
224224,Ritz-Carlton New York Central Park,Spa
224224,Ritz-Carlton New York Central Park,Suites
224224,Ritz-Carlton New York Central Park,Wheelchair access
224224,Ritz-Carlton New York Central Park,Internet
224224,Ritz-Carlton New York Central Park,Wifi
224224,Ritz-Carlton New York Central Park,Paid Wifi
224224,Ritz-Carlton New York Central Park,Paid Internet
224224,Ritz-Carlton New York Central Park,Laundry Service
224224,Ritz-Carlton New York Central Park,Concierge
224224,Ritz-Carlton New York Central Park,Free Internet
224224,Ritz-Carlton New York Central Park,Restaurant
224224,Ritz-Carlton New York Central Park,Bar/Lounge
